nss_state_code,state_name,nss_region,nss_district_code,nss_district_name,census2011_code,census2011_name,match_type,note
1,Jammu & Kashmir,13,1,Kupwara,1,Kupwara,exact,
1,Jammu & Kashmir,13,2,Badgam,2,Badgam,exact,
1,Jammu & Kashmir,12,5,Punch,5,Punch,exact,
1,Jammu & Kashmir,12,6,Rajouri,6,Rajouri,exact,
1,Jammu & Kashmir,11,7,Kathua,7,Kathua,exact,
1,Jammu & Kashmir,13,8,Baramula,8,Baramula,exact,
1,Jammu & Kashmir,13,9,Bandipore,9,Bandipore,exact,
1,Jammu & Kashmir,13,10,Srinagar,10,Srinagar,exact,
1,Jammu & Kashmir,13,11,Ganderbal,11,Ganderbal,exact,
1,Jammu & Kashmir,13,12,Pulwama,12,Pulwama,exact,
1,Jammu & Kashmir,13,13,Shupiyan,13,Shupiyan,exact,
1,Jammu & Kashmir,13,14,Anantnag,14,Anantnag,exact,
1,Jammu & Kashmir,13,15,Kulgam,15,Kulgam,exact,
1,Jammu & Kashmir,12,16,Doda,16,Doda,exact,
1,Jammu & Kashmir,12,17,Ramban,17,Ramban,exact,
1,Jammu & Kashmir,12,18,Kishtwar,18,Kishtwar,exact,
1,Jammu & Kashmir,12,19,Udhampur,19,Udhampur,exact,
1,Jammu & Kashmir,12,20,Reasi,20,Reasi,exact,
1,Jammu & Kashmir,11,21,Jammu,21,Jammu,exact,
1,Jammu & Kashmir,11,22,Samba,22,Samba,exact,
2,Himachal Pradesh,22,1,Chamba,23,Chamba,exact,
2,Himachal Pradesh,21,2,Kangra,24,Kangra,exact,
2,Himachal Pradesh,22,3,Lahul & Spiti,25,Lahul AND Spiti,exact,
2,Himachal Pradesh,21,4,Kullu,26,Kullu,exact,
2,Himachal Pradesh,21,5,Mandi,27,Mandi,exact,
2,Himachal Pradesh,21,6,Hamirpur,28,Hamirpur,exact,
2,Himachal Pradesh,21,7,Una,29,Una,exact,
2,Himachal Pradesh,22,8,Bilaspur,30,Bilaspur,exact,
2,Himachal Pradesh,22,9,Solan,31,Solan,exact,
2,Himachal Pradesh,22,10,Sirmaur,32,Sirmaur,exact,
2,Himachal Pradesh,22,11,Shimla,33,Shimla,exact,
2,Himachal Pradesh,22,12,Kinnaur,34,Kinnaur,exact,
3,Punjab,31,1,Gurdaspur,35,Gurdaspur,exact,
3,Punjab,31,2,Kapurthala,36,Kapurthala,exact,
3,Punjab,31,3,Jalandhar,37,Jalandhar,exact,
3,Punjab,31,4,Hoshiarpur,38,Hoshiarpur,exact,
3,Punjab,31,5,Shahid Bhagat Singh Nagar,39,Shahid Bhagat Singh Nagar,exact,
3,Punjab,32,6,Fatehgarh Sahib,40,Fatehgarh Sahib,exact,
3,Punjab,32,7,Ludhiana,41,Ludhiana,exact,
3,Punjab,32,8,Moga,42,Moga,exact,
3,Punjab,32,9,Firozpur,43,Firozpur,exact,
3,Punjab,32,10,Muktsar,44,Muktsar,exact,
3,Punjab,32,11,Faridkot,45,Faridkot,exact,
3,Punjab,32,12,Bhatinda,46,Bathinda,alias,Spelling variant of the 2011 census name.
3,Punjab,32,13,Mansa,47,Mansa,exact,
3,Punjab,32,14,Patiala,48,Patiala,exact,
3,Punjab,31,15,Amritsar,49,Amritsar,exact,
3,Punjab,31,16,Tarn Taran,50,Tarn Taran,exact,
3,Punjab,31,17,Rupnagar,51,Rupnagar,exact,
3,Punjab,31,18,Sahibzada Ajit Singh Nagar,52,Sahibzada Ajit Singh Nagar,exact,
3,Punjab,32,19,Sangrur,53,Sangrur,exact,
3,Punjab,32,20,Barnala,54,Barnala,exact,
3,Punjab,31,21,Pathankot,35,Gurdaspur,parent2011,District created after Census 2011; mapped to its dominant 2011 parent district.
3,Punjab,32,22,Fazilka,43,Firozpur,parent2011,District created after Census 2011; mapped to its dominant 2011 parent district.
4,Chandigarh,41,1,Chandigarh,55,Chandigarh,exact,
5,Uttarakhand,51,1,Uttarkashi,56,Uttarkashi,exact,
5,Uttarakhand,51,2,Chamoli,57,Chamoli,exact,
5,Uttarakhand,51,3,Rudraprayag,58,Rudraprayag,exact,
5,Uttarakhand,51,4,Tehri Garhwal,59,Tehri Garhwal,exact,
5,Uttarakhand,51,5,Dehradun,60,Dehradun,exact,
5,Uttarakhand,51,6,Garhwal,61,Garhwal,exact,
5,Uttarakhand,51,7,Pithoragarh,62,Pithoragarh,exact,
5,Uttarakhand,51,8,Bageshwar,63,Bageshwar,exact,
5,Uttarakhand,51,9,Almora,64,Almora,exact,
5,Uttarakhand,51,10,Champawat,65,Champawat,exact,
5,Uttarakhand,51,11,Nainital,66,Nainital,exact,
5,Uttarakhand,51,12,Udham Singh Nagar,67,Udham Singh Nagar,exact,
5,Uttarakhand,51,13,Hardwar,68,Hardwar,exact,
6,Haryana,61,1,Panchkula,69,Panchkula,exact,
6,Haryana,61,2,Ambala,70,Ambala,exact,
6,Haryana,61,3,Yamunanagar,71,Yamunanagar,exact,
6,Haryana,61,4,Kurukshetra,72,Kurukshetra,exact,
6,Haryana,61,5,Kaithal,73,Kaithal,exact,
6,Haryana,61,6,Karnal,74,Karnal,exact,
6,Haryana,61,7,Panipat,75,Panipat,exact,
6,Haryana,61,8,Sonipat,76,Sonipat,exact,
6,Haryana,62,9,Jind,77,Jind,exact,
6,Haryana,62,10,Fatehabad,78,Fatehabad,exact,
6,Haryana,62,11,Sirsa,79,Sirsa,exact,
6,Haryana,62,12,Hisar,80,Hisar,exact,
6,Haryana,62,13,Bhiwani,81,Bhiwani,exact,
6,Haryana,61,14,Rohtak,82,Rohtak,exact,
6,Haryana,61,15,Jhajjar,83,Jhajjar,exact,
6,Haryana,62,16,Mahendragarh,84,Mahendragarh,exact,
6,Haryana,62,17,Rewari,85,Rewari,exact,
6,Haryana,61,18,Gurgaon,86,Gurgaon,exact,
6,Haryana,61,19,Mewat,87,Mewat,exact,
6,Haryana,61,20,Faridabad,88,Faridabad,exact,
6,Haryana,61,21,Palwal,89,Palwal,exact,
7,Delhi,71,1,North West,90,North West,exact,
7,Delhi,71,2,North,91,North,exact,
7,Delhi,71,3,North East,92,North East,exact,
7,Delhi,71,4,East,93,East,exact,
7,Delhi,71,5,New Delhi,94,New Delhi,exact,
7,Delhi,71,6,Central,95,Central,exact,
7,Delhi,71,7,West,96,West,exact,
7,Delhi,71,8,South West,97,South West,exact,
7,Delhi,71,9,South,98,South,exact,
8,Rajasthan,85,1,Sri Ganganagar,99,Ganganagar,alias,Spelling variant of the 2011 census name.
8,Rajasthan,85,2,Hanumangarh,100,Hanumangarh,exact,
8,Rajasthan,81,3,Bikaner,101,Bikaner,exact,
8,Rajasthan,85,4,Churu,102,Churu,exact,
8,Rajasthan,85,5,Jhunjhunun,103,Jhunjhunun,exact,
8,Rajasthan,82,6,Alwar,104,Alwar,exact,
8,Rajasthan,82,7,Bharatpur,105,Bharatpur,exact,
8,Rajasthan,82,8,Dhaulpur,106,Dhaulpur,exact,
8,Rajasthan,82,9,Karauli,107,Karauli,exact,
8,Rajasthan,82,10,Sawai Madhopur,108,Sawai Madhopur,exact,
8,Rajasthan,82,11,Dausa,109,Dausa,exact,
8,Rajasthan,82,12,Jaipur,110,Jaipur,exact,
8,Rajasthan,85,13,Sikar,111,Sikar,exact,
8,Rajasthan,85,14,Nagaur,112,Nagaur,exact,
8,Rajasthan,81,15,Jodhpur,113,Jodhpur,exact,
8,Rajasthan,81,16,Jaisalmer,114,Jaisalmer,exact,
8,Rajasthan,81,17,Barmer,115,Barmer,exact,
8,Rajasthan,81,18,Jalor,116,Jalor,exact,
8,Rajasthan,81,19,Sirohi,117,Sirohi,exact,
8,Rajasthan,81,20,Pali,118,Pali,exact,
8,Rajasthan,82,21,Ajmer,119,Ajmer,exact,
8,Rajasthan,82,22,Tonk,120,Tonk,exact,
8,Rajasthan,84,23,Bundi,121,Bundi,exact,
8,Rajasthan,82,24,Bhilwara,122,Bhilwara,exact,
8,Rajasthan,83,25,Rajsamand,123,Rajsamand,exact,
8,Rajasthan,83,26,Dungarpur,124,Dungarpur,exact,
8,Rajasthan,83,27,Banswara,125,Banswara,exact,
8,Rajasthan,84,28,Chittaurgarh,126,Chittaurgarh,exact,
8,Rajasthan,84,29,Kota,127,Kota,exact,
8,Rajasthan,84,30,Baran,128,Baran,exact,
8,Rajasthan,84,31,Jhalawar,129,Jhalawar,exact,
8,Rajasthan,83,32,Udaipur,130,Udaipur,exact,
8,Rajasthan,84,33,Pratapgarh,131,Pratapgarh,exact,
9,Uttar Pradesh,91,1,Saharanpur,132,Saharanpur,exact,
9,Uttar Pradesh,91,2,Muzaffarnagar,133,Muzaffarnagar,exact,
9,Uttar Pradesh,91,3,Bijnor,134,Bijnor,exact,
9,Uttar Pradesh,91,4,Moradabad,135,Moradabad,exact,
9,Uttar Pradesh,91,5,Rampur,136,Rampur,exact,
9,Uttar Pradesh,92,6,Jyotiba Phule Nagar,137,Jyotiba Phule Nagar,exact,
9,Uttar Pradesh,92,7,Meerut,138,Meerut,exact,
9,Uttar Pradesh,92,8,Baghpat,139,Baghpat,exact,
9,Uttar Pradesh,92,9,Ghaziabad,140,Ghaziabad,exact,
9,Uttar Pradesh,92,10,Gautam Buddha Nagar,141,Gautam Buddha Nagar,exact,
9,Uttar Pradesh,95,11,Bulandshahr,142,Bulandshahr,exact,
9,Uttar Pradesh,95,12,Aligarh,143,Aligarh,exact,
9,Uttar Pradesh,95,13,Mahamaya Nagar,144,Mahamaya Nagar,exact,
9,Uttar Pradesh,95,14,Mathura,145,Mathura,exact,
9,Uttar Pradesh,95,15,Agra,146,Agra,exact,
9,Uttar Pradesh,95,16,Firozabad,147,Firozabad,exact,
9,Uttar Pradesh,95,17,Mainpuri,148,Mainpuri,exact,
9,Uttar Pradesh,95,18,Budaun,149,Budaun,exact,
9,Uttar Pradesh,95,19,Bareilly,150,Bareilly,exact,
9,Uttar Pradesh,95,20,Pilibhit,151,Pilibhit,exact,
9,Uttar Pradesh,95,21,Shahjahanpur,152,Shahjahanpur,exact,
9,Uttar Pradesh,95,22,Kheri,153,Kheri,exact,
9,Uttar Pradesh,92,23,Sitapur,154,Sitapur,exact,
9,Uttar Pradesh,92,24,Hardoi,155,Hardoi,exact,
9,Uttar Pradesh,92,25,Unnao,156,Unnao,exact,
9,Uttar Pradesh,92,26,Lucknow,157,Lucknow,exact,
9,Uttar Pradesh,92,27,Rae Bareli,158,Rae Bareli,exact,
9,Uttar Pradesh,95,28,Farrukhabad,159,Farrukhabad,exact,
9,Uttar Pradesh,95,29,Kannauj,160,Kannauj,exact,
9,Uttar Pradesh,95,30,Etawah,161,Etawah,exact,
9,Uttar Pradesh,95,31,Auraiya,162,Auraiya,exact,
9,Uttar Pradesh,92,32,Kanpur Dehat,163,Kanpur Dehat,exact,
9,Uttar Pradesh,92,33,Kanpur Nagar,164,Kanpur Nagar,exact,
9,Uttar Pradesh,94,34,Jalaun,165,Jalaun,exact,
9,Uttar Pradesh,94,35,Jhansi,166,Jhansi,exact,
9,Uttar Pradesh,94,36,Lalitpur,167,Lalitpur,exact,
9,Uttar Pradesh,94,37,Hamirpur,168,Hamirpur,exact,
9,Uttar Pradesh,94,38,Mahoba,169,Mahoba,exact,
9,Uttar Pradesh,94,39,Banda,170,Banda,exact,
9,Uttar Pradesh,94,40,Chitrakoot,171,Chitrakoot,exact,
9,Uttar Pradesh,92,41,Fatehpur,172,Fatehpur,exact,
9,Uttar Pradesh,93,42,Pratapgarh,173,Pratapgarh,exact,
9,Uttar Pradesh,93,43,Kaushambi,174,Kaushambi,exact,
9,Uttar Pradesh,93,44,Allahabad,175,Allahabad,exact,
9,Uttar Pradesh,92,45,Bara Banki,176,Bara Banki,exact,
9,Uttar Pradesh,93,46,Faizabad,177,Faizabad,exact,
9,Uttar Pradesh,93,47,Ambedkar Nagar,178,Ambedkar Nagar,exact,
9,Uttar Pradesh,93,48,Sultanpur,179,Sultanpur,exact,
9,Uttar Pradesh,93,49,Bahraich,180,Bahraich,exact,
9,Uttar Pradesh,93,50,Shrawasti,181,Shrawasti,exact,
9,Uttar Pradesh,93,51,Balrampur,182,Balrampur,exact,
9,Uttar Pradesh,93,52,Gonda,183,Gonda,exact,
9,Uttar Pradesh,93,53,Siddharthnagar,184,Siddharthnagar,exact,
9,Uttar Pradesh,93,54,Basti,185,Basti,exact,
9,Uttar Pradesh,93,55,Sant Kabir Nagar,186,Sant Kabir Nagar,exact,
9,Uttar Pradesh,93,56,Maharajganj,187,Mahrajganj,alias,Spelling variant of the 2011 census name.
9,Uttar Pradesh,93,57,Gorakhpur,188,Gorakhpur,exact,
9,Uttar Pradesh,93,58,Kushinagar,189,Kushinagar,exact,
9,Uttar Pradesh,93,59,Deoria,190,Deoria,exact,
9,Uttar Pradesh,93,60,Azamgarh,191,Azamgarh,exact,
9,Uttar Pradesh,93,61,Mau,192,Mau,exact,
9,Uttar Pradesh,93,62,Ballia,193,Ballia,exact,
9,Uttar Pradesh,93,63,Jaunpur,194,Jaunpur,exact,
9,Uttar Pradesh,93,64,Ghazipur,195,Ghazipur,exact,
9,Uttar Pradesh,93,65,Chandauli,196,Chandauli,exact,
9,Uttar Pradesh,93,66,Varanasi,197,Varanasi,exact,
9,Uttar Pradesh,93,67,Sant Ravidas Nagar(Bhadohi),198,Sant Ravidas Nagar (Bhadohi),exact,
9,Uttar Pradesh,93,68,Mirzapur,199,Mirzapur,exact,
9,Uttar Pradesh,93,69,Sonbhadra,200,Sonbhadra,exact,
9,Uttar Pradesh,95,70,Etah,201,Etah,exact,
9,Uttar Pradesh,95,71,Kanshiram Nagar,202,Kanshiram Nagar,exact,
10,Bihar,101,1,Pashchim Champaran,203,Pashchim Champaran,exact,
10,Bihar,101,2,Purba Champaran,204,Purba Champaran,exact,
10,Bihar,101,3,Sheohar,205,Sheohar,exact,
10,Bihar,101,4,Sitamarhi,206,Sitamarhi,exact,
10,Bihar,101,5,Madhubani,207,Madhubani,exact,
10,Bihar,101,6,Supaul,208,Supaul,exact,
10,Bihar,101,7,Araria,209,Araria,exact,
10,Bihar,101,8,Kishanganj,210,Kishanganj,exact,
10,Bihar,101,9,Purnia,211,Purnia,exact,
10,Bihar,101,10,Katihar,212,Katihar,exact,
10,Bihar,101,11,Madhepura,213,Madhepura,exact,
10,Bihar,101,12,Saharsa,214,Saharsa,exact,
10,Bihar,101,13,Darbhanga,215,Darbhanga,exact,
10,Bihar,101,14,Muzaffarpur,216,Muzaffarpur,exact,
10,Bihar,101,15,Gopalganj,217,Gopalganj,exact,
10,Bihar,101,16,Siwan,218,Siwan,exact,
10,Bihar,101,17,Saran,219,Saran,exact,
10,Bihar,101,18,Vaishali,220,Vaishali,exact,
10,Bihar,101,19,Samastipur,221,Samastipur,exact,
10,Bihar,101,20,Begusarai,222,Begusarai,exact,
10,Bihar,101,21,Khagaria,223,Khagaria,exact,
10,Bihar,102,22,Bhagalpur,224,Bhagalpur,exact,
10,Bihar,102,23,Banka,225,Banka,exact,
10,Bihar,102,24,Munger,226,Munger,exact,
10,Bihar,102,25,Lakhisarai,227,Lakhisarai,exact,
10,Bihar,102,26,Sheikhpura,228,Sheikhpura,exact,
10,Bihar,102,27,Nalanda,229,Nalanda,exact,
10,Bihar,102,28,Patna,230,Patna,exact,
10,Bihar,102,29,Bhojpur,231,Bhojpur,exact,
10,Bihar,102,30,Buxar,232,Buxar,exact,
10,Bihar,102,31,Kaimur (Bhabua),233,Kaimur (Bhabua),exact,
10,Bihar,102,32,Rohtas,234,Rohtas,exact,
10,Bihar,102,33,Aurangabad,235,Aurangabad,exact,
10,Bihar,102,34,Gaya,236,Gaya,exact,
10,Bihar,102,35,Nawada,237,Nawada,exact,
10,Bihar,102,36,Jamui,238,Jamui,exact,
10,Bihar,102,37,Jehanabad,239,Jehanabad,exact,
10,Bihar,102,38,Arwal,240,Arwal,exact,
11,Sikkim,111,1,North District,241,North  District,exact,
11,Sikkim,111,2,West District,242,West District,exact,
11,Sikkim,111,3,South District,243,South District,exact,
11,Sikkim,111,4,East District,244,East District,exact,
12,Arunachal Pradesh,121,1,Tawang,245,Tawang,exact,
12,Arunachal Pradesh,121,2,West Kameng,246,West Kameng,exact,
12,Arunachal Pradesh,121,3,East Kameng,247,East Kameng,exact,
12,Arunachal Pradesh,121,4,Papum Pare,248,Papum Pare,exact,
12,Arunachal Pradesh,121,5,Upper Subansiri,249,Upper Subansiri,exact,
12,Arunachal Pradesh,121,6,West Siang,250,West Siang,exact,
12,Arunachal Pradesh,121,7,East Siang,251,East Siang,exact,
12,Arunachal Pradesh,121,8,Upper Siang,252,Upper Siang,exact,
12,Arunachal Pradesh,121,9,Changlang,253,Changlang,exact,
12,Arunachal Pradesh,121,10,Tirap,254,Tirap,exact,
12,Arunachal Pradesh,121,11,Lower Subansiri,255,Lower Subansiri,exact,
12,Arunachal Pradesh,121,12,Kurung Kumey,256,Kurung Kumey,exact,
12,Arunachal Pradesh,121,13,Dibang Valley,257,Dibang Valley,exact,
12,Arunachal Pradesh,121,14,Lower Dibang Valley,258,Lower Dibang Valley,exact,
12,Arunachal Pradesh,121,15,Lohit,259,Lohit,exact,
12,Arunachal Pradesh,121,16,Anjaw,260,Anjaw,exact,
13,Nagaland,131,1,Mon,261,Mon,exact,
13,Nagaland,131,2,Mokokchung,262,Mokokchung,exact,
13,Nagaland,131,3,Zunheboto,263,Zunheboto,exact,
13,Nagaland,131,4,Wokha,264,Wokha,exact,
13,Nagaland,131,5,Dimapur,265,Dimapur,exact,
13,Nagaland,131,6,Phek,266,Phek,exact,
13,Nagaland,131,7,Tuensang,267,Tuensang,exact,
13,Nagaland,131,8,Longleng,268,Longleng,exact,
13,Nagaland,131,9,Kiphire,269,Kiphire,exact,
13,Nagaland,131,10,Kohima,270,Kohima,exact,
13,Nagaland,131,11,Peren,271,Peren,exact,
14,Manipur,142,1,Senapati,272,Senapati,exact,
14,Manipur,142,2,Tamenglong,273,Tamenglong,exact,
14,Manipur,142,3,Churachandpur,274,Churachandpur,exact,
14,Manipur,141,4,Bishnupur,275,Bishnupur,exact,
14,Manipur,141,5,Thoubal,276,Thoubal,exact,
14,Manipur,141,6,Imphal West,277,Imphal West,exact,
14,Manipur,141,7,Imphal East,278,Imphal East,exact,
14,Manipur,142,8,Ukhrul,279,Ukhrul,exact,
14,Manipur,142,9,Chandel,280,Chandel,exact,
15,Mizoram,151,1,Mamit,281,Mamit,exact,
15,Mizoram,151,2,Kolasib,282,Kolasib,exact,
15,Mizoram,151,3,Aizwal,283,Aizawl,alias,Spelling variant of the 2011 census name.
15,Mizoram,151,4,Champhai,284,Champhai,exact,
15,Mizoram,151,5,Serchhip,285,Serchhip,exact,
15,Mizoram,151,6,Lunglei,286,Lunglei,exact,
15,Mizoram,151,7,Lawngtlai,287,Lawngtlai,exact,
15,Mizoram,151,8,Saiha,288,Saiha,exact,
16,Tripura,161,1,West Tripura,289,West Tripura,exact,
16,Tripura,161,2,South Tripura,290,South Tripura,exact,
16,Tripura,161,3,Dhalai,291,Dhalai,exact,
16,Tripura,161,4,North Tripura,292,North Tripura,exact,
17,Meghalaya,171,1,West Garo Hills,293,West Garo Hills,exact,
17,Meghalaya,171,2,East Garo Hills,294,East Garo Hills,exact,
17,Meghalaya,171,3,South Garo Hills,295,South Garo Hills,exact,
17,Meghalaya,171,4,West Khasi Hills,296,West Khasi Hills,exact,
17,Meghalaya,171,5,Ribhoi,297,Ribhoi,exact,
17,Meghalaya,171,6,East Khasi Hills,298,East Khasi Hills,exact,
17,Meghalaya,171,7,Jaintia Hills,299,Jaintia Hills,exact,
18,Assam,182,1,Kokrajhar,300,Kokrajhar,exact,
18,Assam,182,2,Dhubri,301,Dhubri,exact,
18,Assam,182,3,Goalpara,302,Goalpara,exact,
18,Assam,182,4,Barpeta,303,Barpeta,exact,
18,Assam,184,5,Morigaon,304,Morigaon,exact,
18,Assam,184,6,Nagaon,305,Nagaon,exact,
18,Assam,184,7,Sonitpur,306,Sonitpur,exact,
18,Assam,181,8,Lakhimpur,307,Lakhimpur,exact,
18,Assam,181,9,Dhemaji,308,Dhemaji,exact,
18,Assam,181,10,Tinsukia,309,Tinsukia,exact,
18,Assam,181,11,Dibrugarh,310,Dibrugarh,exact,
18,Assam,181,12,Sivasagar,311,Sivasagar,exact,
18,Assam,181,13,Jorhat,312,Jorhat,exact,
18,Assam,181,14,Golaghat,313,Golaghat,exact,
18,Assam,183,15,Karbi Anglong,314,Karbi Anglong,exact,
18,Assam,183,16,Dima Hasao,315,Dima Hasao,exact,
18,Assam,183,17,Cachar,316,Cachar,exact,
18,Assam,183,18,Karimganj,317,Karimganj,exact,
18,Assam,183,19,Hailakandi,318,Hailakandi,exact,
18,Assam,182,20,Bongaigaon,319,Bongaigaon,exact,
18,Assam,182,21,Chirang,320,Chirang,exact,
18,Assam,182,22,Kamrup,321,Kamrup,exact,
18,Assam,182,23,Kamrup Metropolitan,322,Kamrup Metropolitan,exact,
18,Assam,182,24,Nalbari,323,Nalbari,exact,
18,Assam,182,25,Baksa,324,Baksa,exact,
18,Assam,184,26,Darrang,325,Darrang,exact,
